symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
ZEN,BUY,LIMIT,IOC,5.5,12.637,12.453,FILLED,5.5,5.5,1721385425559,69.5035
NEAR,BUY,LIMIT,IOC,516,6.1848,6.0940,FILLED,2,516,1721385465314,3191.3568
WIF,SELL,LIMIT,IOC,116.8,2.3469694,2.3820000,FILLED,116.8,116.8,1721385487448,274.12602591999996
DYM,SELL,LIMIT,IOC,46.0,2.185360,2.216283,FILLED,6.9,46.0,1721385558369,100.52656
PEOPLE,SELL,LIMIT,IOC,11607,0.08451,0.08572,FILLED,9302,11607,1721385560178,980.90757
ZK,SELL,LIMIT,IOC,4978,0.1666893,0.1690666,FILLED,268,4978,1721385590226,829.7793354
DYM,SELL,LIMIT,IOC,4.4,2.182297,2.213200,FILLED,4.4,4.4,1721385593390,9.602106800000001
1000PEPE,SELL,LIMIT,IOC,10500,0.0112321,0.0114044,FILLED,10500,10500,1721385594419,117.93705
WIF,SELL,LIMIT,IOC,142.7,2.3425042,2.3780000,FILLED,10.5,142.7,1721385595650,334.27534934
1000BONK,SELL,LIMIT,IOC,4537,0.0268786,0.0272860,FILLED,4537,4537,1721385604269,121.9482082
WLD,BUY,LIMIT,IOC,82,2.6142945,2.5994000,FILLED,82,82,1721385609043,214.372149
1000RATS,SELL,LIMIT,IOC,19160,0.1023264,0.1039344,FILLED,1153,19160,1721385615574,1960.573824
WLD,BUY,LIMIT,IOC,1477,2.6192482,2.5976384,FILLED,21,1477,1721385620431,3868.6295913999998
NEO,BUY,LIMIT,IOC,11.50,11.469,11.405,FILLED,7.52,11.50,1721385637317,131.8935
WLD,BUY,LIMIT,IOC,97,2.6197373,2.6067000,FILLED,97,97,1721385670370,254.11451810000003
WLD,BUY,LIMIT,IOC,487,2.6221618,2.6071000,FILLED,14,487,1721385671553,1276.9927966
WLD,BUY,LIMIT,IOC,28,2.6229574,2.6078000,FILLED,2,28,1721385678099,73.4428072
SAGA,SELL,LIMIT,IOC,552.4,1.6788866,1.7038332,FILLED,23.1,552.4,1721385722118,927.41695784
