timestamp,action,price,balance_usdt,balance_btc,total_balance
2024-06-21,Buy,64143.56,995,1000.0000779501481,64075009.99457857
2024-06-22,Buy,64262.01,990,1000.0001557566158,64075009.97995096
2024-06-23,Buy,63210.01,985,1000.0002348580113,64075010.04829457
2024-06-24,Buy,60293.3,980,1000.0003177859651,64075010.36182111
2024-06-25,Buy,61806.01,975,1000.0003986842466,64075010.545298405
2024-06-26,Buy,60864.99,970,1000.0004808332785,64075010.8089163
2024-06-28,Buy,60427.84,965,1000.0005635765968,64075011.110612504
2024-07-04,Buy,57050.01,960,1000.0006512190004,64075011.72621274
2024-07-05,Buy,56628.79,955,1000.0007395133115,64075012.383583315
2024-07-07,Buy,55857.81,950,1000.0008290263089,64075013.11904001
